ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
EGLL,2023,DEP,241,27L,418,17.086124401913874,13,10,12,11
EGLL,2023,DEP,241,27R,420,19.778571428571432,15,13,15,14
EGLL,2023,DEP,242,09R,319,24.974921630094045,20,17,20,18.5
EGLL,2023,DEP,242,27L,417,19.41726618705036,15,13,15,14
EGLL,2023,DEP,242,27R,422,20.827014218009477,17,14,16,15
EGLL,2023,DEP,243,09L,5,31.6,25.8,19.2,23.6,21.4
EGLL,2023,DEP,243,09R,358,24.65083798882681,20,17,19,18
EGLL,2023,DEP,243,27L,471,19.146496815286618,15,12.5,14,13.25
EGLL,2023,DEP,243,27R,461,20.442516268980473,16,13,15,14
EGLL,2023,DEP,243L,09R,71,17.95774647887324,14,13,14,13.5
EGLL,2023,DEP,243L,27L,94,14.77659574468085,11,9,11,10
EGLL,2023,DEP,243L,27R,77,14.272727272727273,11,10,11,10.5
EGLL,2023,DEP,243R,09R,75,17.84,14,12,13,12.5
EGLL,2023,DEP,243R,27L,90,15.455555555555556,11.8,9.45,11,10.225
EGLL,2023,DEP,243R,27R,78,15.730769230769232,12,10.85,12,11.425
EGLL,2023,DEP,244,09L,3,26.333333333333332,22,22,22,22
EGLL,2023,DEP,244,09R,385,23.62077922077922,19,15,18,16.5
EGLL,2023,DEP,244,27L,459,18.62527233115468,14,12,14,13
EGLL,2023,DEP,244,27R,493,19.18458417849898,15,12,14,13
EGLL,2023,DEP,246,09L,6,32.333333333333336,24,19.5,22.5,21
EGLL,2023,DEP,246,09R,408,25.93382352941176,21,18,20,19
EGLL,2023,DEP,246,27L,501,19.892215568862277,16,13,16,14.5
EGLL,2023,DEP,246,27R,479,20.379958246346558,16,14,15,14.5
EGLL,2023,DEP,246L,09R,55,18.78181818181818,14,12,14,13
EGLL,2023,DEP,246L,27L,72,14.319444444444445,12,9,11.65,10.325
EGLL,2023,DEP,246L,27R,57,15.263157894736842,12,10,11,10.5
EGLL,2023,DEP,246R,09R,52,18.826923076923077,15,14,15,14.5
EGLL,2023,DEP,246R,27L,72,14.847222222222221,12,10,11,10.5
EGLL,2023,DEP,246R,27R,69,14.768115942028986,12,10.4,11,10.7
EGLL,2023,DEP,247,09L,1,30,30,30,30,30
EGLL,2023,DEP,247,09R,300,26.11,21,18,20,19
EGLL,2023,DEP,247,27L,392,20.859693877551017,16,13,15,14
EGLL,2023,DEP,247,27R,407,19.81818181818182,16,13,15,14
EGLL,2023,DEP,247L,09R,106,20.066037735849058,15,13,15,14
EGLL,2023,DEP,247L,27L,126,15.746031746031745,12,10,11,10.5
EGLL,2023,DEP,247L,27R,116,14.594827586206897,11,9,10,9.5
EGLL,2023,DEP,247R,09R,109,19.238532110091747,14.600000000000001,13,14,13.5
EGLL,2023,DEP,247R,27L,130,15.053846153846154,12,10,11,10.5
EGLL,2023,DEP,247R,27R,121,14.652892561983471,11,9,11,10
EGLL,2023,DEP,248,09L,1,23,23,23,23,23
EGLL,2023,DEP,248,09R,338,25.87278106508876,21,18,20,19
EGLL,2023,DEP,248,27L,412,20.106796116504853,16,13,15,14
EGLL,2023,DEP,248,27R,419,19.735083532219573,15,13,14,13.5
EGLL,2023,DEP,249,09L,1,24,24,24,24,24
EGLL,2023,DEP,249,09R,301,26.62126245847176,22,19,21,20
EGLL,2023,DEP,249,27L,358,20.98324022346368,17,14,16,15
EGLL,2023,DEP,249,27R,400,19.4275,15,13,15,14
EGLL,2023,DEP,251,09R,10,24.6,17.4,15,16.049999999999997,15.524999999999999
EGLL,2023,DEP,251,27L,12,19.5,14.4,11,12.95,11.975
EGLL,2023,DEP,251,27R,15,18.266666666666666,13,10.7,13,11.85
EGLL,2023,DEP,252,09R,8,21,17,12.45,17,14.725
EGLL,2023,DEP,252,27L,10,16.6,11.6,10,10.7,10.35
EGLL,2023,DEP,252,27R,10,19.2,16,14.35,16,15.175
EGLL,2023,DEP,253,27L,3,19,15.6,12.9,14.7,13.8
